"id";"station_id";"date";"mw_art";"uv_index";"unit";"station_name";"betreiber";"betreiber_id";"tagesgang_url"
"34915";"HY";"2020-05-06T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"34948";"HY";"2020-05-07T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"34983";"HY";"2020-05-08T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35007";"HY";"2020-05-09T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35047";"HY";"2020-05-10T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35075";"HY";"2020-05-11T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35103";"HY";"2020-05-12T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35146";"HY";"2020-05-13T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35177";"HY";"2020-05-14T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35234";"HY";"2020-05-15T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35245";"HY";"2020-05-16T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35270";"HY";"2020-05-17T20:00:00Z";"UVI";"6";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"35328";"HY";"2020-05-18T20:00:00Z";"UVI";"5";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
